,Well,Fluor,Target,Content,Sample,Melt Temp
,A01,SYBR,,Std-01,STD1,78
,A02,SYBR,,Std-01,STD1,78
,A03,SYBR,,Unkn-01,11.3_A,75
,A04,SYBR,,Unkn-01,11.3_A,75
,A05,SYBR,,Unkn-09,9.1_D,75
,A06,SYBR,,Unkn-09,9.1_D,75
,A07,SYBR,,Unkn-17,5.1_C,77
,A08,SYBR,,Unkn-17,5.1_C,77
,A09,SYBR,,Unkn-25,7.5_C,75
,A10,SYBR,,Unkn-25,7.5_C,75
,A11,SYBR,,Unkn-33,9.3_A,75.5
,A12,SYBR,,Unkn-33,9.3_A,75.5
,B01,SYBR,,Std-02,STD2,78
,B02,SYBR,,Std-02,STD2,78
,B03,SYBR,,Unkn-02,3.1_B,77
,B04,SYBR,,Unkn-02,3.1_B,77
,B05,SYBR,,Unkn-10,5.3_B,75
,B06,SYBR,,Unkn-10,5.3_B,75
,B07,SYBR,,Unkn-18,15.3_A,75
,B08,SYBR,,Unkn-18,15.3_A,75
,B09,SYBR,,Unkn-26,13.2_B,77
,B10,SYBR,,Unkn-26,13.2_B,77
,B11,SYBR,,Unkn-34,17.5_C,77
,B12,SYBR,,Unkn-34,17.5_C,77
,C01,SYBR,,Std-03,STD3,78
,C02,SYBR,,Std-03,STD3,78
,C03,SYBR,,Unkn-03,9.1_C,75
,C04,SYBR,,Unkn-03,9.1_C,75
,C05,SYBR,,Unkn-11,15.2_C,75
,C06,SYBR,,Unkn-11,15.2_C,75
,C07,SYBR,,Unkn-19,3.3_C,75
,C08,SYBR,,Unkn-19,3.3_C,75.5
,C09,SYBR,,Unkn-27,10.6_A,75
,C10,SYBR,,Unkn-27,10.6_A,77
,C11,SYBR,,Unkn-35,9.4_D,75
,C12,SYBR,,Unkn-35,9.4_D,75.5
,D01,SYBR,,Std-04,STD4,78
,D02,SYBR,,Std-04,STD4,78
,D03,SYBR,,Unkn-04,8.1_A,75
,D04,SYBR,,Unkn-04,8.1_A,75
,D07,SYBR,,Unkn-20,9.4_B,75.5
,D08,SYBR,,Unkn-20,9.4_B,75.5
,D09,SYBR,,Unkn-28,5.4_D,75
,D10,SYBR,,Unkn-28,5.4_D,75
,D11,SYBR,,Unkn-36,9.5_B,75
,D12,SYBR,,Unkn-36,9.5_B,75
,E01,SYBR,,Unkn,STD5,78
,E02,SYBR,,Unkn,STD5,78
,E03,SYBR,,Unkn-05,12.2_A,75
,E04,SYBR,,Unkn-05,12.2_A,75
,E05,SYBR,,Unkn-13,9.2_C,75
,E06,SYBR,,Unkn-13,9.2_C,75
,E07,SYBR,,Unkn-21,13.3_B,77
,E08,SYBR,,Unkn-21,13.3_B,75
,E09,SYBR,,Unkn-29,2.3_C,75
,E10,SYBR,,Unkn-29,2.3_C,75
,E11,SYBR,,Unkn-37,10.4_D,75
,E12,SYBR,,Unkn-37,10.4_D,75
,F01,SYBR,,Unkn,STD6,78
,F02,SYBR,,Unkn,STD6,78
,F03,SYBR,,Unkn-06,15.5_A,75
,F04,SYBR,,Unkn-06,15.5_A,75
,F05,SYBR,,Unkn-14,14.5_D,75
,F06,SYBR,,Unkn-14,14.5_D,75
,F07,SYBR,,Unkn-22,15.2_A,75
,F08,SYBR,,Unkn-22,15.2_A,75
,F09,SYBR,,Unkn-30,17.3_D,75
,F10,SYBR,,Unkn-30,17.3_D,75
,F11,SYBR,,Unkn-38,5.2_C,75
,F12,SYBR,,Unkn-38,5.2_C,75.5
,G01,SYBR,,Unkn,STD7,78
,G02,SYBR,,Unkn,STD7,78
,G03,SYBR,,Unkn-07,3.1_C,77
,G04,SYBR,,Unkn-07,3.1_C,77
,G05,SYBR,,Unkn-15,17.3_A,77
,G06,SYBR,,Unkn-15,17.3_A,77
,G07,SYBR,,Unkn-23,10.6_B,75
,G08,SYBR,,Unkn-23,10.6_B,75
,G09,SYBR,,Unkn-31,2.4_B,75
,G10,SYBR,,Unkn-31,2.4_B,75
,G11,SYBR,,Unkn-39,12.4_A,75
,G12,SYBR,,Unkn-39,12.4_A,75
,H01,SYBR,,NTC-01,NEG,78
,H02,SYBR,,NTC-01,NEG,78
,H03,SYBR,,Unkn-08,7.1_D,75
,H04,SYBR,,Unkn-08,7.1_D,75
,H05,SYBR,,Unkn-16,13.4_D,75
,H06,SYBR,,Unkn-16,13.4_D,75
,H07,SYBR,,Unkn-24,17.2_B,75
,H08,SYBR,,Unkn-24,17.2_B,75
,H09,SYBR,,Unkn-32,3.2_B,75
,H10,SYBR,,Unkn-32,3.2_B,75
,H11,SYBR,,Unkn-40,7.4_D,75
,H12,SYBR,,Unkn-40,7.4_D,75
