,Well,Fluor,Target,Content,Sample,Melt Temp
,A01,SYBR,,Std-01,STD1,78
,A02,SYBR,,Std-01,STD1,78
,A07,SYBR,,Unkn-17,9.2_B,75
,A08,SYBR,,Unkn-17,9.2_B,75
,A09,SYBR,,Unkn-25,10.3_C,77
,A10,SYBR,,Unkn-25,10.3_C,77
,A11,SYBR,,Unkn-33,11.4_B,75
,A12,SYBR,,Unkn-33,11.4_B,75
,B01,SYBR,,Std-02,STD2,78
,B02,SYBR,,Std-02,STD2,78
,B05,SYBR,,Unkn-10,10.5_C,75
,B06,SYBR,,Unkn-10,10.5_C,75
,B07,SYBR,,Unkn-18,7.5_B,75
,B08,SYBR,,Unkn-18,7.5_B,75
,B09,SYBR,,Unkn-26,11.3_C,75
,B10,SYBR,,Unkn-26,11.3_C,75
,B11,SYBR,,Unkn-34,10.4_A,77.5
,B12,SYBR,,Unkn-34,10.4_A,77
,C01,SYBR,,Std-03,STD3,78
,C02,SYBR,,Std-03,STD3,78
,C05,SYBR,,Unkn-11,15.5_C,75
,C06,SYBR,,Unkn-11,15.5_C,75
,C07,SYBR,,Unkn-19,6.5_B,75.5
,C08,SYBR,,Unkn-19,6.5_B,75
,C11,SYBR,,Unkn-35,7.2_A,77
,C12,SYBR,,Unkn-35,7.2_A,77
,D01,SYBR,,Std-04,STD4,78
,D02,SYBR,,Std-04,STD4,78
,D03,SYBR,,Unkn-04,9.3_D,75
,D04,SYBR,,Unkn-04,9.3_D,75
,D05,SYBR,,Unkn-12,10.2_C,75.5
,D06,SYBR,,Unkn-12,10.2_C,75.5
,D11,SYBR,,Unkn-36,5.6_B,77
,D12,SYBR,,Unkn-36,5.6_B,77
,E03,SYBR,,Unkn-05,12.5_D,75
,E04,SYBR,,Unkn-05,12.5_D,75
,E05,SYBR,,Unkn-13,6.5_C,75
,E06,SYBR,,Unkn-13,6.5_C,75
,E07,SYBR,,Unkn-21,3.4_D,75
,E08,SYBR,,Unkn-21,3.4_D,75
,E09,SYBR,,Unkn-29,10.5_A,77
,E10,SYBR,,Unkn-29,10.5_A,77
,E11,SYBR,,Unkn-37,9.2_D,77
,E12,SYBR,,Unkn-37,9.2_D,77.5
,F03,SYBR,,Unkn-06,5.2_A,75
,F04,SYBR,,Unkn-06,5.2_A,75
,F05,SYBR,,Unkn-14,5.4_A,75
,F06,SYBR,,Unkn-14,5.4_A,77
,F07,SYBR,,Unkn-22,13.1_B,76.5
,F08,SYBR,,Unkn-22,13.1_B,76.5
,F09,SYBR,,Unkn-30,6.2_D,75
,F10,SYBR,,Unkn-30,6.2_D,75
,F11,SYBR,,Unkn-38,13.2_A,77
,F12,SYBR,,Unkn-38,13.2_A,77.5
,G03,SYBR,,Unkn-07,6.3_A,75
,G04,SYBR,,Unkn-07,6.3_A,75
,G05,SYBR,,Unkn-15,2.3_B,75
,G06,SYBR,,Unkn-15,2.3_B,75
,G07,SYBR,,Unkn-23,12.4_C,75
,G08,SYBR,,Unkn-23,12.4_C,75
,G09,SYBR,,Unkn-31,5.2_D,75
,G10,SYBR,,Unkn-31,5.2_D,75
,H01,SYBR,,NTC-01,NEG,78
,H02,SYBR,,NTC-01,NEG,78
,H03,SYBR,,Unkn-08,9.3_B,75
,H04,SYBR,,Unkn-08,9.3_B,75
,H05,SYBR,,Unkn-16,7.4_B,75
,H06,SYBR,,Unkn-16,7.4_B,75
,H09,SYBR,,Unkn-32,6.3_C,75
,H10,SYBR,,Unkn-32,6.3_C,75
,H11,SYBR,,Unkn-40,15.5_D,75
,H12,SYBR,,Unkn-40,15.5_D,75
