,Well,Fluor,Target,Content,Sample,Melt Temp
,A01,SYBR,,Std-01,STD1,78
,A02,SYBR,,Std-01,STD1,78
,A03,SYBR,,Unkn-01,12.4_B,77.5
,A04,SYBR,,Unkn-01,12.4_B,77.5
,A05,SYBR,,Unkn-09,5.1_B,77.5
,A06,SYBR,,Unkn-09,5.1_B,77.5
,A07,SYBR,,Unkn-17,7.4_C,77.5
,A08,SYBR,,Unkn-17,7.4_C,77.5
,A09,SYBR,,Unkn-25,9.1_B,77.5
,A10,SYBR,,Unkn-25,9.1_B,77.5
,B01,SYBR,,Std-02,STD2,78
,B02,SYBR,,Std-02,STD2,78
,B03,SYBR,,Unkn-02,11.1_D,77.5
,B04,SYBR,,Unkn-02,11.1_D,77.5
,B07,SYBR,,Unkn-18,11.1_C,77.5
,B08,SYBR,,Unkn-18,11.1_C,77.5
,B09,SYBR,,Unkn-26,17.4_B,77.5
,B10,SYBR,,Unkn-26,17.4_B,77.5
,C01,SYBR,,Std-03,STD3,78
,C02,SYBR,,Std-03,STD3,78
,C03,SYBR,,Unkn-03,10.6_C,77.5
,C04,SYBR,,Unkn-03,10.6_C,77.5
,C07,SYBR,,Unkn-19,9.6_B,77.5
,C08,SYBR,,Unkn-19,9.6_B,77.5
,C09,SYBR,,Unkn-27,6.5_A,77
,C10,SYBR,,Unkn-27,6.5_A,77
,C11,SYBR,,Unkn-35,13.3_C,77.5
,C12,SYBR,,Unkn-35,13.3_C,77.5
,D01,SYBR,,Std-04,STD4,78
,D02,SYBR,,Std-04,STD4,78
,D03,SYBR,,Unkn-04,7.3_C,77.5
,D04,SYBR,,Unkn-04,7.3_C,77.5
,D05,SYBR,,Unkn-12,11.2_B,77.5
,D06,SYBR,,Unkn-12,11.2_B,77.5
,D07,SYBR,,Unkn-20,11.4_D,77.5
,D08,SYBR,,Unkn-20,11.4_D,77.5
,D09,SYBR,,Unkn-28,3.3_A,77.5
,D10,SYBR,,Unkn-28,3.3_A,77.5
,D11,SYBR,,Unkn-36,9.6_A,78
,D12,SYBR,,Unkn-36,9.6_A,78
,E05,SYBR,,Unkn-13,6.3_B,77
,E06,SYBR,,Unkn-13,6.3_B,77.5
,E07,SYBR,,Unkn-21,7.3_D,77.5
,E08,SYBR,,Unkn-21,7.3_D,77.5
,E09,SYBR,,Unkn-29,17.4_A,77.5
,E10,SYBR,,Unkn-29,17.4_A,77.5
,E11,SYBR,,Unkn-37,8.1_D,77.5
,E12,SYBR,,Unkn-37,8.1_D,77.5
,F03,SYBR,,Unkn-06,3.4_B,77.5
,F04,SYBR,,Unkn-06,3.4_B,77.5
,F07,SYBR,,Unkn-22,13.3_A,77.5
,F08,SYBR,,Unkn-22,13.3_A,77.5
,F09,SYBR,,Unkn-30,2.4_D,77
,F10,SYBR,,Unkn-30,2.4_D,77
,F11,SYBR,,Unkn-38,9.5_D,77.5
,F12,SYBR,,Unkn-38,9.5_D,77.5
,G05,SYBR,,Unkn-15,3.2_D,77.5
,G06,SYBR,,Unkn-15,3.2_D,77.5
,G07,SYBR,,Unkn-23,10.1_B,77.5
,G08,SYBR,,Unkn-23,10.1_B,77.5
,G09,SYBR,,Unkn-31,12.6_C,77.5
,G10,SYBR,,Unkn-31,12.6_C,77.5
,G11,SYBR,,Unkn-39,9.5_C,77.5
,G12,SYBR,,Unkn-39,9.5_C,77.5
,H01,SYBR,,NTC-01,NEG,78
,H02,SYBR,,NTC-01,NEG,78
,H03,SYBR,,Unkn-08,5.5_C,77.5
,H04,SYBR,,Unkn-08,5.5_C,77.5
,H05,SYBR,,Unkn-16,2.2_C,77
,H06,SYBR,,Unkn-16,2.2_C,77
,H07,SYBR,,Unkn-24,12.5_A,77
,H08,SYBR,,Unkn-24,12.5_A,77
,H09,SYBR,,Unkn-32,8.2_D,77.5
,H10,SYBR,,Unkn-32,8.2_D,77.5
,H11,SYBR,,Unkn-40,13.2_D,77
,H12,SYBR,,Unkn-40,13.2_D,77
